latitude,housing_median_age,total_rooms,households,median_income,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,target
34.14,52,4446.0,620.0,5.8524,0,0,0,294200
33.87,44,857.0,133.0,4.2167,0,0,0,265900
38.87,12,1705.0,144.0,4.525,1,0,0,127900
38.09,18,7939.0,1058.0,5.5957,0,1,0,172200
34.68,6,2464.0,273.0,6.5685,0,0,1,307700
33.82,26,2753.0,377.0,5.7925,0,0,0,362000
41.81,21,2885.0,443.0,2.0639,1,0,0,55700
34.05,31,2746.0,472.0,3.0321,1,0,0,104600
38.13,20,3682.0,490.0,5.3,1,0,0,155100
38.67,33,1061.0,132.0,4.9875,0,0,0,246500
34.01,42,1963.0,362.0,3.399,0,0,0,335700
36.56,35,2048.0,316.0,1.9722,1,0,0,59400
37.99,23,3842.0,680.0,2.186,1,0,0,105600
33.88,40,2045.0,329.0,4.5083,0,0,0,147600
33.75,34,2731.0,373.0,6.587,0,0,1,396700
37.8,52,5191.0,1024.0,4.8913,0,1,0,500301
32.73,30,2195.0,379.0,4.3357,0,0,0,154100
34.18,52,1867.0,251.0,5.349,0,0,0,323800
37.9,24,5145.0,873.0,3.2526,0,1,0,271300
33.62,16,1448.0,242.0,2.4759,1,0,0,61800
34.04,5,2009.0,222.0,8.278,1,0,0,224200
32.81,26,915.0,125.0,5.3603,0,0,1,186000
34.13,9,12845.0,1227.0,7.0273,0,0,0,500301
33.61,40,3321.0,424.0,5.1,0,0,0,500301
38.26,19,3985.0,286.0,3.2509,1,0,0,115100
36.71,10,2016.0,380.0,2.9458,1,0,0,85100
32.67,15,2188.0,597.0,1.5745,0,0,1,93200
37.53,29,1416.0,225.0,2.4932,1,0,0,90900
37.4,23,2112.0,310.0,5.8968,0,0,0,243500
34.14,23,1732.0,359.0,2.8388,0,0,0,205300
34.0,34,3317.0,522.0,4.8163,0,0,0,184100
37.87,30,1904.0,425.0,2.0778,0,1,0,269100
33.97,3,20893.0,2342.0,5.9409,1,0,0,198000
34.47,35,3122.0,383.0,5.2757,0,0,0,500301
38.6,36,1536.0,230.0,4.1672,1,0,0,111700
36.92,20,3324.0,610.0,2.9434,0,0,0,170000
32.74,17,4786.0,766.0,2.9944,0,0,0,158600
34.27,17,2030.0,423.0,1.9007,0,0,1,187800
37.96,35,1822.0,264.0,5.8,0,1,0,201300
34.01,26,3640.0,551.0,3.06,1,0,0,95500
33.9,21,3614.0,391.0,6.8945,0,0,0,277600
34.14,37,2227.0,348.0,2.525,1,0,0,81900
38.11,21,4507.0,632.0,5.8524,0,0,0,279500
33.72,25,3053.0,535.0,3.4932,0,0,1,257800
32.69,20,1307.0,217.0,3.4833,0,0,1,108600
34.12,15,5030.0,695.0,4.7609,1,0,0,230300
33.84,33,1961.0,331.0,3.1021,0,0,0,195400
37.93,42,2185.0,372.0,2.2375,0,1,0,87300
32.75,46,877.0,195.0,2.7219,0,0,1,90900
37.62,35,1758.0,254.0,4.7286,0,0,1,262400
37.76,52,3724.0,726.0,3.2899,0,1,0,406800
34.05,35,2768.0,416.0,4.0454,0,0,0,157200
38.28,12,4656.0,806.0,3.976,1,0,0,135300
38.65,28,1459.0,212.0,4.1295,1,0,0,122500
33.93,35,955.0,150.0,5.3077,0,0,0,185300
34.27,50,220.0,35.0,3.6438,0,0,0,500301
36.72,30,1900.0,300.0,2.3658,1,0,0,68200
34.07,52,1492.0,204.0,5.5269,1,0,0,161300
34.01,42,2457.0,393.0,6.3804,0,0,0,420300
34.01,30,1586.0,323.0,3.3225,0,0,0,131100
34.0,32,1523.0,361.0,1.2817,0,0,0,166600
32.87,14,4319.0,792.0,3.65,0,0,1,171300
33.82,44,1899.0,284.0,5.8449,0,0,0,232500
34.32,13,3182.0,521.0,5.1988,0,0,0,325500
33.47,22,3344.0,566.0,1.9393,0,0,0,500301
37.95,17,1377.0,235.0,3.175,1,0,0,162800
33.61,17,2345.0,288.0,7.1939,0,0,1,384200
32.84,16,4013.0,624.0,3.4196,0,0,0,187500
34.05,38,6014.0,937.0,5.1304,0,0,0,500301
37.96,20,2113.0,342.0,2.8195,1,0,0,92900
33.68,4,6657.0,938.0,6.8069,0,0,0,243700
34.24,6,4167.0,876.0,3.3926,0,0,0,418800
37.77,20,808.0,151.0,2.3833,1,0,0,77600
40.92,12,2988.0,462.0,3.1182,0,0,1,127200
38.02,15,1912.0,251.0,3.9875,1,0,0,186300
38.57,8,1077.0,164.0,2.9833,1,0,0,119100
34.05,44,1451.0,372.0,1.5,0,0,0,115900
34.12,37,1540.0,255.0,5.5049,0,0,0,241100
32.75,15,2418.0,672.0,1.3612,0,0,1,300300
34.08,52,1421.0,251.0,3.425,0,0,0,380700
37.31,16,1877.0,230.0,6.9455,0,0,0,302900
32.73,44,2259.0,316.0,5.1684,0,0,1,358900
32.72,39,3520.0,432.0,7.8925,0,0,1,467000
34.08,32,2264.0,454.0,2.7464,1,0,0,169900
39.14,41,1842.0,353.0,1.984,1,0,0,71600
40.94,18,1895.0,335.0,2.6147,0,0,1,70400
36.31,17,2810.0,409.0,4.3577,1,0,0,107600
34.07,40,2268.0,441.0,2.6375,0,0,0,355500
39.12,38,324.0,60.0,2.6125,0,0,0,70300
37.26,24,2726.0,341.0,5.9223,0,0,0,266000
34.01,33,4280.0,924.0,3.1797,0,0,0,285600
35.41,15,7836.0,1029.0,4.4875,0,0,0,261900
32.77,24,2847.0,525.0,3.2,0,0,0,185500
34.02,45,1590.0,254.0,3.05,0,0,0,178600
32.9,14,4186.0,838.0,3.1588,0,0,0,92800
34.12,25,4031.0,536.0,5.1304,1,0,0,229200
35.55,10,4740.0,671.0,3.8,0,0,0,172400
34.95,10,2851.0,543.0,2.675,0,0,0,98800
33.98,40,1347.0,231.0,3.3927,0,0,0,316300
35.58,16,4907.0,626.0,3.7799,0,0,1,321100
33.34,17,3308.0,431.0,4.8764,0,0,0,257600
34.0,42,1951.0,380.0,2.3938,0,0,0,119500
34.29,18,4656.0,680.0,5.5953,0,0,1,279700
33.49,20,2039.0,250.0,2.3347,1,0,0,69200
37.84,17,1479.0,141.0,12.0064,0,1,0,500301
37.98,52,4324.0,639.0,4.9905,0,1,0,316600
33.82,50,4280.0,651.0,5.8106,0,0,1,252500
33.84,25,2342.0,385.0,4.3724,0,0,0,231700
34.0,30,2745.0,559.0,3.6995,0,0,0,324300
35.34,35,2040.0,343.0,1.8357,1,0,0,56800
40.01,21,1110.0,178.0,2.425,1,0,0,63600
33.73,43,2373.0,486.0,2.8759,0,0,1,225300
40.34,26,5725.0,539.0,3.181,1,0,0,80100
33.78,52,4101.0,815.0,3.4739,0,0,1,223200
37.57,52,3043.0,374.0,7.3422,0,0,1,500301
37.77,52,3243.0,597.0,2.6977,0,1,0,412800
34.08,52,3298.0,510.0,5.8871,0,0,0,500301
33.86,18,401.0,71.0,4.9806,0,0,0,187800
34.14,16,1510.0,173.0,10.4597,0,0,1,500301
37.59,43,1915.0,332.0,2.1466,1,0,0,81800
33.75,36,3189.0,457.0,4.9042,0,0,1,357600
36.94,19,1084.0,190.0,2.5375,1,0,0,64600
38.43,28,1997.0,424.0,1.9685,0,0,0,114400
37.84,49,2363.0,378.0,2.2274,0,1,0,122600
34.12,4,6561.0,1101.0,4.0973,1,0,0,181600
37.54,28,2808.0,467.0,5.0135,0,0,0,203500
39.73,44,3582.0,626.0,2.5925,1,0,0,86100
33.68,4,1849.0,296.0,4.8469,0,0,0,500301
34.06,50,1800.0,259.0,6.5344,0,0,0,500301
33.11,17,6802.0,1139.0,3.3054,0,0,0,142600
38.57,38,3377.0,829.0,1.5209,1,0,0,88200
37.84,52,3024.0,514.0,3.9591,0,1,0,299500
37.32,20,3485.0,430.0,6.5742,0,0,0,241600
36.2,16,2311.0,436.0,3.2559,0,0,0,163500
34.05,51,1319.0,306.0,2.7297,0,0,0,162800
33.93,33,1127.0,235.0,3.7028,1,0,0,110800
39.05,20,1919.0,253.0,2.8326,1,0,0,137100
37.33,7,4010.0,474.0,3.3224,1,0,0,148100
33.94,43,1493.0,252.0,3.0917,0,0,0,105900
33.93,36,1349.0,225.0,1.8256,0,0,0,95700
37.36,31,1960.0,354.0,4.7896,0,0,0,157100
40.17,47,1862.0,301.0,2.1077,1,0,0,54400
34.07,24,5728.0,1529.0,2.0365,0,0,0,112800
33.91,29,2957.0,548.0,3.4957,0,0,0,159500
33.66,4,12356.0,1929.0,5.0341,0,0,0,237700
33.95,42,2114.0,436.0,2.6882,0,0,0,148400
38.01,19,3157.0,422.0,4.7491,1,0,0,134200
33.73,24,2525.0,414.0,4.1365,0,0,0,251200
33.8,42,2922.0,561.0,2.3579,0,0,1,133000
33.9,36,1782.0,291.0,3.925,0,0,0,196100
33.95,36,2162.0,487.0,3.1167,0,0,0,160700
33.98,52,2845.0,504.0,2.3284,1,0,0,101900
37.34,36,997.0,160.0,6.091,0,0,0,254400
34.24,11,7326.0,262.0,2.8147,1,0,0,85000
33.85,37,4422.0,694.0,4.5218,0,0,0,200800
38.35,14,2748.0,397.0,4.0813,0,0,0,146800
33.97,30,7531.0,953.0,6.3663,0,0,0,372900
34.44,38,2164.0,395.0,3.4364,0,0,1,357800
34.08,31,3034.0,603.0,2.6333,1,0,0,164500
38.68,25,1459.0,217.0,3.8893,1,0,0,146700
34.05,33,3091.0,568.0,3.3625,0,0,0,166100
34.15,46,345.0,55.0,2.5321,1,0,0,237800
34.36,52,1768.0,304.0,3.0951,0,0,0,199600
33.91,35,1927.0,320.0,5.2732,0,0,0,165300
32.75,9,4213.0,645.0,3.6026,0,0,1,119400
33.88,19,3090.0,610.0,2.5372,1,0,0,109100
33.6,21,4863.0,576.0,9.3519,0,0,0,500301
33.62,23,3577.0,345.0,8.2367,0,0,0,500301
36.4,39,2040.0,309.0,2.9648,1,0,0,129500
34.01,52,1787.0,334.0,2.3625,0,0,0,134700
32.61,10,2100.0,391.0,2.4765,0,0,1,128700
34.14,23,4179.0,729.0,3.82,1,0,0,187600
38.33,3,9242.0,1215.0,5.276,1,0,0,158600
34.08,30,5836.0,1243.0,3.1889,0,0,0,335600
